player,singles,doubles,triples,homeruns,strikes
arocr001,5,1,0,0,1
dyerm001,4,0,0,0,2
sanfc001,2,1,1,0,7
greem001,104,25,4,15,36
mahlr001,1,1,0,0,5
millw001,0,0,0,0,1
schrb001,6,3,0,4,10
lydem001,2,0,0,1,3
ferns001,1,1,0,0,15
naeht001,98,27,2,10,70
fordt001,0,0,0,0,1
reusr001,3,1,0,0,11
afent001,1,1,2,0,2
shels001,6,0,0,1,6
mckew001,0,0,0,0,1
grubk001,79,18,2,20,71
mccls001,4,0,0,0,7
halaj001,0,1,0,0,7
wagnp001,8,1,0,0,12
schuj001,12,5,1,0,2
branc001,3,0,1,0,4
jensm001,12,2,0,1,29
